name,ringGauge,lengthMm,weightGrams,weightSource,status
Plasencia Alma Fuerte Generacion V,52,165,21.6,estimated: size formula,kept existing weight
Davidoff Winston Churchill The Late Hour Robusto,52,133,17.4,estimated: size formula,kept existing weight
Padron 1964 Anniversary Exclusivo Maduro,50,140,17.6,estimated: size formula,kept existing weight
Cohiba Siglo II,42,129,13.7,estimated: size formula,kept existing weight
Arturo Fuente Don Carlos Robusto,50,133,16.8,estimated: size formula,kept existing weight
Montecristo No. 2,52,156,20.4,estimated: size formula,kept existing weight
Partagas Serie D No. 4,50,124,15.6,estimated: size formula,kept existing weight
Romeo y Julieta Wide Churchills,55,130,18.0,estimated: size formula,kept existing weight
Oliva Serie V Melanio Figurado,52,165,21.6,estimated: size formula,kept existing weight
My Father Le Bijou 1922 Torpedo Box Press,52,156,20.4,estimated: size formula,kept existing weight
Hoyo de Monterrey Epicure No. 2,50,124,15.6,estimated: size formula,kept existing weight
Bolivar Belicosos Finos,52,140,18.3,estimated: size formula,kept existing weight
Punch Punch,46,143,16.6,estimated: size formula,kept existing weight
Juan Lopez Seleccion No. 2,50,124,15.6,estimated: size formula,kept existing weight
Drew Estate Liga Privada No. 9 Robusto,52,127,16.6,estimated: size formula,kept existing weight
EP Carrillo Encore Majestic,52,140,18.3,estimated: size formula,kept existing weight
Alec Bradley Magic Toast Robusto,52,127,16.6,estimated: size formula,kept existing weight
Foundation Olmec Claro Robusto,50,127,16.0,estimated: size formula,kept existing weight
Crowned Heads Le Careme Robusto,50,127,16.0,estimated: size formula,kept existing weight
AJ Fernandez New World Dorado Robusto,52,133,17.4,estimated: size formula,kept existing weight
Davidoff Yamasa Robusto,52,133,17.4,estimated: size formula,kept existing weight
Padron 2000 Maduro,50,127,16.0,estimated: size formula,kept existing weight
Plasencia Reserva Original Robustos,52,127,16.6,estimated: size formula,kept existing weight
Oliva Serie V Double Robusto,54,127,17.3,estimated: size formula,kept existing weight
Arturo Fuente Hemingway Short Story,49,102,12.6,estimated: size formula,kept existing weight
Rocky Patel Sixty Robusto,50,127,16.0,estimated: size formula,kept existing weight
Perdomo 20th Anniversary Maduro Robusto,56,127,17.9,estimated: size formula,kept existing weight
Joya de Nicaragua Antano 1970 Consul,52,114,14.9,estimated: size formula,kept existing weight
La Flor Dominicana Double Ligero Chiselito,44,127,14.1,estimated: size formula,kept existing weight
Warped La Colmena No. 44,44,127,14.1,estimated: size formula,kept existing weight
Montecristo No. 4,42,129,13.7,estimated: size formula,kept existing weight
Montecristo No. 3,42,142,15.0,estimated: size formula,kept existing weight
Cohiba Siglo I,40,102,10.3,estimated: size formula,kept existing weight
Cohiba Siglo IV,46,143,16.6,estimated: size formula,kept existing weight
Cohiba Siglo VI,52,150,19.7,estimated: size formula,kept existing weight
Romeo y Julieta No. 2,52,156,20.4,estimated: size formula,kept existing weight
Romeo y Julieta Petit Churchills,50,102,12.9,estimated: size formula,kept existing weight
Partagas Serie D No. 5,50,110,13.9,estimated: size formula,kept existing weight
Partagas Serie E No. 2,54,140,19.0,estimated: size formula,kept existing weight
Hoyo de Monterrey Epicure Especial,50,141,17.8,estimated: size formula,kept existing weight
Hoyo de Monterrey Le Hoyo de Rio Seco,56,140,19.8,estimated: size formula,kept existing weight
Bolivar Petit Coronas,42,129,16.09,estimated: size formula,kept existing weight
Bolivar Tubos No. 2,52,156,20.4,estimated: size formula,kept existing weight
Punch Double Coronas,49,194,17.86,estimated: size formula,kept existing weight
Quai d'Orsay No. 50,50,110,13.9,estimated: size formula,kept existing weight
Vegas Robaina Unicos,52,156,20.4,estimated: size formula,kept existing weight
San Cristobal La Punta,52,140,14.26,estimated: size formula,kept existing weight
Davidoff Millennium Blend Robusto,50,133,16.8,estimated: size formula,kept existing weight
Padron 3000 Maduro,52,140,18.3,estimated: size formula,kept existing weight
Plasencia Alma del Campo Tribu,52,127,16.6,estimated: size formula,kept existing weight
Montecristo No.2,0,0,14,estimated: size formula,kept existing weight
Montecristo No.3,0,0,9.29,estimated: size formula,kept existing weight
Montecristo No.4,0,0,8.46,estimated: size formula,kept existing weight
Montecristo Especial No.2,0,0,8.15,estimated: size formula,kept existing weight
Montecristo Joyitas,0,0,2.81,estimated: size formula,kept existing weight
Partagas Serie D No.4,0,0,11.66,estimated: size formula,kept existing weight
Partagas Serie D No.5,0,0,10.34,estimated: size formula,kept existing weight
Partagas Serie E No.2,0,0,14.21,estimated: size formula,kept existing weight
Partagas Super Partagas,0,0,15.6,estimated: size formula,kept existing weight
Romeo y Julieta Churchill,0,0,15.07,estimated: size formula,kept existing weight
Romeo y Julieta Belicosos,0,0,12.45,estimated: size formula,kept existing weight
Romeo y Julieta No.2,0,0,8.46,estimated: size formula,kept existing weight
Hoyo de Monterrey Epicure No.2,0,0,11.66,estimated: size formula,kept existing weight
