cigar,retailer,price,url
Cohiba Siglo I,cgars,41.99,https://www.cgarsltd.co.uk/cohiba-siglo-cigar-single-p-429.html
Cohiba Siglo I,cgars,33.99,https://www.cgarsltd.co.uk/cohiba-siglo-cigar-single-p-428.html
Cohiba Siglo I,havanahouse,35,https://www.havanahouse.co.uk/product/cohiba-siglo-i-cigar-single/
Cohiba Siglo I,simplycigars,33.84,https://www.simplycigars.co.uk/cohiba-siglo-single-cigar-p-2918.html
Cohiba Siglo I,jjfox,34,https://www.jjfox.co.uk/cohiba-siglo-i-628.html
Cohiba Siglo I,gqtobaccos,28.49,https://www.gqtobaccos.com/cigars/cohiba-siglo-i-tubed-2/
Cohiba Siglo I,egm,22.99,https://egmcigars.com/products/cohiba-siglo-1-slb?variant=9061311840303
Cohiba Siglo I,cigarworld,33,https://cigarworld.co.uk/products/cohiba-siglo-i-cigar-single
Montecristo No.2,cgars,46.49,https://www.cgarsltd.co.uk/montecristo-cigar-single-p-506.html?keywords=Montecristo+No+2
Montecristo No.2,havanahouse,46.50,https://www.havanahouse.co.uk/product/montecristo-no-2-cigar-single/
Montecristo No.2,simplycigars,50.44,https://www.simplycigars.co.uk/montecristo-no2-single-cigar-p-1541.html
Montecristo No.2,egm,30.99,http://egmcigars.com/products/montecristo-no-2?variant=9008363700271
Montecristo No.2,cigarworld,44.50,https://cigarworld.co.uk/products/montecristo-no-2-single?_pos=1&_psq=Montecristo+No.+2&_ss=e&_v=1.0
Cohiba Siglo I,cgars,33.99,https://www.cgarsltd.co.uk/cohiba-siglo-cigar-single-p-428.html
Cohiba Siglo I,havanahouse,35,https://www.havanahouse.co.uk/product/cohiba-siglo-i-cigar-single/
Cohiba Siglo I,simplycigars,33.84,https://www.simplycigars.co.uk/cohiba-siglo-single-cigar-p-2918.html
Cohiba Siglo I,egm,24.99,https://egmcigars.com/en-gb/products/cohiba-siglo-1-slb?variant=9061311840303
Cohiba Siglo I,cigarworld,33,https://cigarworld.co.uk/products/cohiba-siglo-i-cigar-single
Cohiba Siglo II,cgars,41.99,https://www.cgarsltd.co.uk/cohiba-siglo-cigar-single-p-429.html?keywords=Cohiba+Siglo+I
Cohiba Siglo II,havanahouse,42,https://www.havanahouse.co.uk/product/cohiba-siglo-ii-cigar-single/
Cohiba Siglo II,simplycigars,43.97,https://www.simplycigars.co.uk/cohiba-siglo-single-cigar-p-452.html
Cohiba Siglo II,egm,38.99,https://egmcigars.com/en-gb/products/cohiba-siglo-2-slb?variant=9061330223151
Cohiba Siglo II,cigarworld,40,https://cigarworld.co.uk/products/cohiba-siglo-ii-single?_pos=3&_psq=Cohiba+Siglo+II&_ss=e&_v=1.0
Cohiba Siglo III,cgars,59.99,https://www.cgarsltd.co.uk/cohiba-siglo-iii-cigar-single-p-430.html
Cohiba Siglo III,havanahouse,60,https://www.havanahouse.co.uk/product/cohiba-siglo-iii-cigar-single/
Cohiba Siglo III,simplycigars,59.71,https://www.simplycigars.co.uk/cohiba-siglo-iii-single-cigar-p-453.html
Cohiba Siglo III,egm,50.99,https://egmcigars.com/en-gb/products/cohiba-siglo-3-slb?_pos=1&_psq=Cohiba+Siglo+III&_ss=e&_v=1.0
Cohiba Siglo III,cigarworld,57.50,https://cigarworld.co.uk/products/cohiba-siglo-iii-single?_pos=1&_psq=Cohiba+Siglo+III&_ss=e&_v=1.0
Cohiba Siglo IV,cgars,90.99,https://www.cgarsltd.co.uk/cohiba-siglo-cigar-single-p-431.html
Cohiba Siglo IV,havanahouse,68,https://www.havanahouse.co.uk/product/cohiba-siglo-iv-cigar-single/
Cohiba Siglo IV,simplycigars,91.09,https://www.simplycigars.co.uk/cohiba-siglo-single-cigar-p-454.html
Cohiba Siglo IV,egm,62.99,https://egmcigars.com/en-gb/products/cohiba-siglo-4-slb?variant=9061352013871
Cohiba Siglo IV,cigarworld,65,https://cigarworld.co.uk/products/cohiba-siglo-iv-single?_pos=1&_psq=Cohiba+Siglo+IV&_ss=e&_v=1.0
Cohiba Siglo V,cgars,82.99,https://www.cgarsltd.co.uk/cohiba-siglo-cigar-single-p-432.html?keywords=Cohiba+Siglo+V
Cohiba Siglo V,havanahouse,90,https://www.havanahouse.co.uk/product/cohiba-siglo-v-cigar-single/
Cohiba Siglo V,simplycigars,89.32,https://www.simplycigars.co.uk/cohiba-siglo-single-cigar-p-455.html
Cohiba Siglo V,egm,96.99,https://egmcigars.com/en-gb/products/cohiba-siglo-5-slb?variant=9008145563695
Cohiba Siglo V,cigarworld,80,https://cigarworld.co.uk/products/cohiba-siglo-vi-single?_pos=1&_psq=Cohiba+Siglo+V&_ss=e&_v=1.0
Cohiba Siglo VI,cgars,139,https://www.cgarsltd.co.uk/cohiba-siglo-cigar-single-p-433.html?keywords=Siglo+VI
Cohiba Siglo VI,havanahouse,130,https://www.havanahouse.co.uk/product/cohiba-siglo-vi-cigar-single/
Cohiba Siglo VI,simplycigars,100.85,https://www.simplycigars.co.uk/cohiba-siglo-single-cigar-p-456.html
Cohiba Siglo VI,egm,93.99,https://egmcigars.com/en-gb/products/cohiba-siglo-6-slb?variant=9008183509039
Cohiba Siglo VI,cigarworld,80,https://cigarworld.co.uk/products/cohiba-siglo-vi-single?_pos=1&_psq=Cohiba+Siglo+VI&_ss=e&_v=1.0
Montecristo No.1,cgars,37.49,https://www.cgarsltd.co.uk/montecristo-cigar-single-p-505.html?keywords=Montecristo+No+1
Montecristo No.1,havanahouse,37.70,https://www.havanahouse.co.uk/product/montecristo-no-1-cigar-single/
