cigar_name,source_group,retailer,url,domain,status,field,previous_value,current_value,note
Plasencia Alma Fuerte Generacion V,ukPrices,C.Gars,https://www.cgarsltd.co.uk/plasencia-alma-fuerte-generacion-cigar-single-p-30358.html,www.cgarsltd.co.uk,error,price,£34.99,,HTTP 403
Plasencia Alma Fuerte Generacion V,ukPrices,cgars,https://www.cgarsltd.co.uk/plasencia-alma-fuerte-generacion-cigar-single-p-30358.html?keywords=Plasencia+Alma+Fuerte+Generacion+V,www.cgarsltd.co.uk,error,price,£34.99,,HTTP 403
Plasencia Alma Fuerte Generacion V,ukPrices,havanahouse,https://www.havanahouse.co.uk/product/plasencia-alma-fuerte-generacion-v-cigar-single/,www.havanahouse.co.uk,unchanged,price,£35.00,£35.00,In Stock
Plasencia Alma Fuerte Generacion V,ukPrices,simplycigars,https://www.simplycigars.co.uk/plasencia-alma-fuerte-generacion-cigar-single-p-3948.html,www.simplycigars.co.uk,unchanged,price,£36.28,£36.28,In Stock
Plasencia Alma Fuerte Generacion V,euPrices,egm,https://egmcigars.com/en-gb/products/plasencia-alma-fuerte-generacion-v-cigar?variant=43665364287745,egmcigars.com,changed,price,£21.99,£22.04,Out of Stock
Davidoff Winston Churchill The Late Hour Robusto,ukPrices,cgars,https://www.cgarsltd.co.uk/davidoff-winston-churchill-the-late-hour-robusto-cigar-single-p-25559.html?keywords=Davidoff+Winston+Churchill+The+Late+Hour+Robusto,www.cgarsltd.co.uk,error,price,£47.99,,HTTP 403
Davidoff Winston Churchill The Late Hour Robusto,ukPrices,havanahouse,https://www.havanahouse.co.uk/product/davidoff-winston-churchill-late-hour-robusto-cigar-single/,www.havanahouse.co.uk,unchanged,price,£49.73,£49.73,In Stock
Davidoff Winston Churchill The Late Hour Robusto,ukPrices,simplycigars,https://www.simplycigars.co.uk/davidoff-winston-churchill-the-late-hour-robusto-cigar-single-p-3753.html,www.simplycigars.co.uk,unchanged,price,£52.37,£52.37,In Stock
Davidoff Winston Churchill The Late Hour Robusto,euPrices,egm,https://egmcigars.com/en-gb/products/davidoff-winston-churchill-late-hour-robusto-cigar?_pos=1&_psq=Davidoff+Winston+Churchill+The+Late+Hour+Robusto&_ss=e&_v=1.0,egmcigars.com,changed,price,£26.99,£27.29,In Stock
Cohiba Siglo II,ukPrices,Havana House,https://www.havanahouse.co.uk/product/cohiba-siglo-ii-cigar-single/,www.havanahouse.co.uk,unchanged,price,£35.00,£35.00,In Stock
Cohiba Siglo II,ukPrices,cgars,https://www.cgarsltd.co.uk/cohiba-siglo-cigar-single-p-429.html?keywords=Cohiba+Siglo+II,www.cgarsltd.co.uk,error,price,£41.99,,HTTP 403
Cohiba Siglo II,ukPrices,havanahouse,https://www.havanahouse.co.uk/product/cohiba-siglo-ii-cigar-single/,www.havanahouse.co.uk,unchanged,price,£42.00,£42.00,In Stock
Cohiba Siglo II,ukPrices,simplycigars,https://www.simplycigars.co.uk/cohiba-siglo-single-cigar-p-452.html,www.simplycigars.co.uk,unchanged,price,£43.97,£43.97,In Stock
Cohiba Siglo II,euPrices,egm,https://egmcigars.com/en-gb/products/cohiba-siglo-2-slb?variant=9061330223151,egmcigars.com,changed,price,£38.99,£39.89,Out of Stock
Arturo Fuente Don Carlos Robusto,ukPrices,cgars,https://www.cgarsltd.co.uk/arturo-fuente-don-carlos-robusto-cigar-single-p-10530.html?keywords=Arturo+Fuente+Don+Carlos+Robusto,www.cgarsltd.co.uk,error,price,£33.99,,HTTP 403
Arturo Fuente Don Carlos Robusto,ukPrices,havanahouse,https://www.havanahouse.co.uk/product/arturo-fuente-don-carlos-robusto-cigar-single/,www.havanahouse.co.uk,unchanged,price,£32.66,£32.66,In Stock
Montecristo No. 2,ukPrices,Havana House,https://www.havanahouse.co.uk/product/montecristo-no-2-cigar-single/,www.havanahouse.co.uk,unchanged,price,£38.75,£38.75,In Stock
Montecristo No. 2,ukPrices,cgars,https://www.cgarsltd.co.uk/montecristo-cigar-single-p-506.html?keywords=Montecristo+No++2,www.cgarsltd.co.uk,error,price,£46.49,,HTTP 403
Montecristo No. 2,ukPrices,havanahouse,https://www.havanahouse.co.uk/product/montecristo-no-2-cigar-single/,www.havanahouse.co.uk,unchanged,price,£46.50,£46.50,In Stock
Montecristo No. 2,ukPrices,simplycigars,https://www.simplycigars.co.uk/montecristo-no2-single-cigar-p-1541.html,www.simplycigars.co.uk,unchanged,price,£50.44,£50.44,In Stock
Montecristo No. 2,euPrices,egm,https://egmcigars.com/en-gb/products/montecristo-no-2?variant=9008363700271,egmcigars.com,changed,price,£31.99,£33.13,Out of Stock
Partagas Serie D No. 4,ukPrices,cgars,https://www.cgarsltd.co.uk/partagas-serie-cigar-single-p-528.html?keywords=Partagas+Serie+D+No++4,www.cgarsltd.co.uk,error,price,£38.49,,HTTP 403
Partagas Serie D No. 4,ukPrices,havanahouse,https://www.havanahouse.co.uk/product/partagas-series-d-no-4-cigar-single/,www.havanahouse.co.uk,unchanged,price,£38.50,£38.50,In Stock
Partagas Serie D No. 4,ukPrices,simplycigars,https://www.simplycigars.co.uk/advanced_search_result.php?keywords=Partagas+Serie+D+No.+4&search=GO&ajax_prod_id=1541,www.simplycigars.co.uk,unchanged,price,£41.02,£41.02,Out of Stock
Partagas Serie D No. 4,euPrices,egm,https://egmcigars.com/en-gb/products/partagas-serie-d-no-4?variant=9008379592751,egmcigars.com,changed,price,£26.99,£27.92,Out of Stock
Romeo y Julieta Wide Churchills,ukPrices,cgars,https://www.cgarsltd.co.uk/romeo-julieta-wide-churchill-cigar-single-p-8998.html?keywords=Romeo+y+Julieta+Wide+Churchill,www.cgarsltd.co.uk,error,price,£46.79,,HTTP 403
Romeo y Julieta Wide Churchills,ukPrices,havanahouse,https://www.havanahouse.co.uk/product/romeo-y-julieta-wide-churchill-cigar-single/,www.havanahouse.co.uk,unchanged,price,£46.80,£46.80,In Stock
Romeo y Julieta Wide Churchills,ukPrices,simplycigars,https://www.simplycigars.co.uk/romeo-julieta-wide-churchill-single-cigar-p-2182.html,www.simplycigars.co.uk,unchanged,price,£49.86,£49.86,In Stock
Romeo y Julieta Wide Churchills,euPrices,egm,https://egmcigars.com/en-gb/products/romeo-y-julieta-wide-churchill?variant=9008371957807,egmcigars.com,changed,price,£30.99,£31.49,Out of Stock
Oliva Serie V Melanio Figurado,ukPrices,cgars,https://www.cgarsltd.co.uk/oliva-serie-melanio-gran-reserva-figurado-cigar-single-p-16152.html,www.cgarsltd.co.uk,error,price,£44.99,,HTTP 403
Oliva Serie V Melanio Figurado,euPrices,egm,https://egmcigars.com/en-gb/products/oliva-serie-v-melanio-figurado?_pos=1&_psq=Oliva+Serie+V+Melanio+Figurado&_ss=e&_v=1.0,egmcigars.com,error,price,£210.99,,Price not extracted
My Father Le Bijou 1922 Torpedo Box Press,ukPrices,cgars,https://www.cgarsltd.co.uk/father-bijou-1922-torpedo-box-pressed-cigar-single-p-28899.html,www.cgarsltd.co.uk,error,price,£46.99,,HTTP 403
My Father Le Bijou 1922 Torpedo Box Press,ukPrices,simplycigars,https://www.simplycigars.co.uk/father-bijou-1922-torpedo-box-pressed-single-cigar-p-3911.html,www.simplycigars.co.uk,unchanged,price,£49.78,£49.78,In Stock
Hoyo de Monterrey Epicure No. 2,ukPrices,cgars,https://www.cgarsltd.co.uk/hoyo-monterrey-epicure-cigar-single-p-476.html?keywords=Hoyo+de+Monterrey+Epicure+No++2,www.cgarsltd.co.uk,error,price,£38.99,,HTTP 403
Hoyo de Monterrey Epicure No. 2,ukPrices,havanahouse,https://www.havanahouse.co.uk/product/hoyo-de-monterrey-epicure-no-2-cigar-single/,www.havanahouse.co.uk,unchanged,price,£36.80,£36.80,In Stock
Hoyo de Monterrey Epicure No. 2,ukPrices,simplycigars,https://www.simplycigars.co.uk/hoyo-monterrey-epicure-no2-single-cigar-p-1720.html,www.simplycigars.co.uk,unchanged,price,£39.23,£39.23,In Stock
Hoyo de Monterrey Epicure No. 2,euPrices,egm,https://egmcigars.com/en-gb/products/hoyo-de-monterrey-epicure-no-2-slb?variant=9008394633263,egmcigars.com,changed,price,£23.99,£24.73,Out of Stock
Bolivar Belicosos Finos,ukPrices,cgars,https://www.cgarsltd.co.uk/bolivar-belicosos-finos-cigar-single-p-408.html?keywords=Bolivar+Belicosos+Finos,www.cgarsltd.co.uk,error,price,£38.99,,HTTP 403
Bolivar Belicosos Finos,ukPrices,havanahouse,https://www.havanahouse.co.uk/product/bolivar-belicosos-finos-cigar-single/,www.havanahouse.co.uk,unchanged,price,£38.70,£38.70,In Stock
Bolivar Belicosos Finos,ukPrices,simplycigars,https://www.simplycigars.co.uk/bolivar-belicosos-finos-single-cigar-p-1773.html,www.simplycigars.co.uk,unchanged,price,£41.48,£41.48,In Stock
Bolivar Belicosos Finos,euPrices,egm,https://egmcigars.com/en-gb/products/bolivar-belicosos?variant=37316867555486,egmcigars.com,changed,price,£22.99,£23.26,Out of Stock
Punch Punch,ukPrices,cgars,https://www.cgarsltd.co.uk/punch-punch-cigar-single-p-277.html?keywords=Punch+Punch,www.cgarsltd.co.uk,error,price,£35.99,,HTTP 403
Punch Punch,ukPrices,havanahouse,https://www.havanahouse.co.uk/product/punch-punch-cigar-single/,www.havanahouse.co.uk,unchanged,price,£36.00,£36.00,In Stock
