cigar_name,source_group,retailer,url,domain,status,field,previous_value,current_value,note
Plasencia Alma Fuerte Generacion V,euPrices,egm,https://egmcigars.com/en-gb/products/plasencia-alma-fuerte-generacion-v-cigar?variant=43665364287745,egmcigars.com,changed,price,£21.99,£22.04,Out of Stock
Davidoff Winston Churchill The Late Hour Robusto,euPrices,egm,https://egmcigars.com/en-gb/products/davidoff-winston-churchill-late-hour-robusto-cigar?_pos=1&_psq=Davidoff+Winston+Churchill+The+Late+Hour+Robusto&_ss=e&_v=1.0,egmcigars.com,changed,price,£26.99,£27.29,In Stock
Cohiba Siglo II,euPrices,egm,https://egmcigars.com/en-gb/products/cohiba-siglo-2-slb?variant=9061330223151,egmcigars.com,changed,price,£38.99,£39.89,Out of Stock
Montecristo No. 2,euPrices,egm,https://egmcigars.com/en-gb/products/montecristo-no-2?variant=9008363700271,egmcigars.com,changed,price,£31.99,£33.13,Out of Stock
Partagas Serie D No. 4,euPrices,egm,https://egmcigars.com/en-gb/products/partagas-serie-d-no-4?variant=9008379592751,egmcigars.com,changed,price,£26.99,£27.92,Out of Stock
Romeo y Julieta Wide Churchills,euPrices,egm,https://egmcigars.com/en-gb/products/romeo-y-julieta-wide-churchill?variant=9008371957807,egmcigars.com,changed,price,£30.99,£31.49,Out of Stock
Hoyo de Monterrey Epicure No. 2,euPrices,egm,https://egmcigars.com/en-gb/products/hoyo-de-monterrey-epicure-no-2-slb?variant=9008394633263,egmcigars.com,changed,price,£23.99,£24.73,Out of Stock
Bolivar Belicosos Finos,euPrices,egm,https://egmcigars.com/en-gb/products/bolivar-belicosos?variant=37316867555486,egmcigars.com,changed,price,£22.99,£23.26,Out of Stock
Punch Punch,euPrices,egm,https://egmcigars.com/en-gb/products/punch-punch?variant=42735489220865,egmcigars.com,changed,price,£27.99,£28.86,Out of Stock
Juan Lopez Seleccion No. 2,euPrices,egm,https://egmcigars.com/en-gb/products/juan-lopez-seleccion-no-2-slb?variant=40248758829214,egmcigars.com,changed,price,£22.99,£23.72,Out of Stock
Plasencia Alma Fuerte Sixto II,euPrices,egm,https://egmcigars.com/en-gb/products/plasencia-alma-fuerte-sixto-ii-cigar?variant=43665093132545,egmcigars.com,changed,price,£21.99,£22.04,In Stock
Plasencia Alma del Campo Guajiro,euPrices,egm,https://egmcigars.com/en-gb/products/plasencia-alma-del-campo-guajiro-cigar?variant=43665427726593,egmcigars.com,changed,price,£16.99,£16.79,Out of Stock
Plasencia Alma del Campo Sendero,euPrices,egm,https://egmcigars.com/en-gb/products/plasencia-alma-del-campo-sendero-cigar?variant=43665431920897,egmcigars.com,changed,price,£16.99,£16.79,In Stock
Plasencia Cosecha 149 Santa Fe,euPrices,egm,https://egmcigars.com/en-gb/products/plasencia-cosecha-149-santa-fe?_pos=1&_sid=57a95d2f4&_ss=r,egmcigars.com,changed,price,£13.99,£13.64,Out of Stock
Plasencia Reserva Original Corona,euPrices,egm,https://egmcigars.com/en-gb/products/plasencia-reserva-original-corona-cigar?variant=43667146473729,egmcigars.com,changed,price,£9.99,£10.00,Out of Stock
Plasencia Reserva Original Nesticos,euPrices,egm,https://egmcigars.com/en-gb/products/plasencia-reserva-original-nesticos-cigar?variant=43666939838721,egmcigars.com,changed,price,£5.99,£5.24,In Stock
Plasencia Cosecha 151 La Tradicion,euPrices,egm,https://egmcigars.com/en-gb/products/plasencia-cosecha-151-la-tradicion-cigar?variant=44626589450497,egmcigars.com,changed,price,£15.99,£15.74,In Stock
Plasencia Cosecha 151 San Diego,euPrices,egm,https://egmcigars.com/en-gb/products/plasencia-cosecha-151-san-diego-cigar?variant=44626525782273,egmcigars.com,changed,price,£13.99,£13.64,In Stock
Davidoff Nicaragua Toro,euPrices,egm,https://egmcigars.com/en-gb/products/davidoff-nicaragua-toro-cigar?variant=45616435986689,egmcigars.com,changed,price,£24.99,£25.19,In Stock
Cohiba Robusto,euPrices,egm,https://egmcigars.com/en-gb/products/cohiba-robusto-slb?variant=9061373673519,egmcigars.com,changed,price,£61.99,£64.05,Out of Stock
Cohiba Esplendidos,euPrices,egm,https://egmcigars.com/en-gb/products/cohiba-esplendidos-bn-1?variant=9074557124655,egmcigars.com,changed,price,£100.99,£104.99,Out of Stock
Plasencia Alma del Cielo Amanecer Hexagono,euPrices,egm,https://egmcigars.com/en-gb/products/plasencia-alma-del-cielo-amanecer?variant=46361292144897,egmcigars.com,changed,price,£24.99,£25.19,In Stock
Plasencia Reserva Original Toro,euPrices,egm,https://egmcigars.com/en-gb/products/plasencia-reserva-original-toro-cigar?_pos=1&_psq=Plasencia+Reserva+Original+Toro&_ss=e&_v=1.0,egmcigars.com,changed,price,£10.99,£10.49,Out of Stock
Plasencia Reserva Original Cortez,euPrices,egm,https://egmcigars.com/en-gb/products/plasencia-reserva-original-cortes-cigar?variant=43667124781313,egmcigars.com,changed,price,£12.99,£12.59,In Stock
Plasencia Alma del Campo Madrono,euPrices,egm,https://egmcigars.com/en-gb/products/plasencia-alma-del-campo-madrono-cigar?variant=43665445519617,egmcigars.com,changed,price,£19.99,£19.94,In Stock
Montecristo No.5,euPrices,egm,https://egmcigars.com/en-gb/products/montecristo-no-5?variant=9075206586415,egmcigars.com,changed,price,£21.99,£22.68,Out of Stock
H. Upmann Magnum 46,euPrices,egm,https://egmcigars.com/en-gb/products/h-upmann-magnum-46-slb?variant=37400139071646,egmcigars.com,changed,price,£28.99,£29.39,Out of Stock
