brand,cigar,market,retailer,stored_price,url,status
AJ Fernandez,AJ Fernandez San Lotano Requiem Robusto,UK,cgars,£23.99,https://www.cgarsltd.co.uk/,ready to check
Arturo Fuente,Arturo Fuente Chateau Fuente,UK,cgars,£18.99,https://www.cgarsltd.co.uk/,ready to check
Arturo Fuente,Arturo Fuente Don Carlos No. 2,UK,cgars,£27.99,https://www.cgarsltd.co.uk/,ready to check
Arturo Fuente,Arturo Fuente Don Carlos Robusto,UK,cgars,£33.99,https://www.cgarsltd.co.uk/arturo-fuente-don-carlos-robusto-cigar-single-p-10530.html?keywords=Arturo+Fuente+Don+Carlos+Robusto,ready to check
Arturo Fuente,Arturo Fuente Gran Reserva Robusto,UK,cgars,£19.99,https://www.cgarsltd.co.uk/,ready to check
Arturo Fuente,Arturo Fuente Hemingway Short Story,UK,cgars,£18.99,https://www.cgarsltd.co.uk/arturo-fuente-hemingway-short-story-cigar-single-p-3144.html?keywords=Arturo+Fuente+Hemingway+Short+Story,ready to check
Bolivar,Bolivar Belicosos Finos,UK,cgars,£38.99,https://www.cgarsltd.co.uk/bolivar-belicosos-finos-cigar-single-p-408.html?keywords=Bolivar+Belicosos+Finos,ready to check
Bolivar,Bolivar Petit Coronas,UK,cgars,£24.99,https://www.cgarsltd.co.uk/bolivar-petit-coronas-cigar-single-p-415.html?keywords=Bolivar+Petit+Coronas,ready to check
Cohiba,Cohiba Esplendidos,UK,cgars,£144,https://www.cgarsltd.co.uk/cohiba-esplendidos-cigar-single-p-422.html?keywords=Cohiba+Esplendidos,ready to check
Cohiba,Cohiba Panetelas,UK,cgars,£28.99,https://www.cgarsltd.co.uk/cohiba-panetelas-cigar-single-p-425.html?keywords=Cohiba+Panetelas,ready to check
Cohiba,Cohiba Robusto,UK,cgars,£72.99,https://www.cgarsltd.co.uk/cohiba-robustos-cigar-single-p-426.html?keywords=Cohiba+Robusto,ready to check
Cohiba,Cohiba Robustos,UK,cgars,£49.99,https://www.cgarsltd.co.uk/,ready to check
Cohiba,Cohiba Siglo I,UK,cgars,£33.99,https://www.cgarsltd.co.uk/cohiba-siglo-cigar-single-p-428.html?keywords=Cohiba+Siglo+I,ready to check
Cohiba,Cohiba Siglo II,UK,cgars,£41.99,https://www.cgarsltd.co.uk/cohiba-siglo-cigar-single-p-429.html?keywords=Cohiba+Siglo+II,ready to check
Cohiba,Cohiba Siglo III,UK,cgars,£59.99,https://www.cgarsltd.co.uk/cohiba-siglo-iii-cigar-single-p-430.html,ready to check
Cohiba,Cohiba Siglo IV,UK,cgars,£90.99,https://www.cgarsltd.co.uk/cohiba-siglo-cigar-single-p-431.html?keywords=Cohiba+Siglo+IV,ready to check
Cohiba,Cohiba Siglo V,UK,cgars,£82.99,https://www.cgarsltd.co.uk/cohiba-siglo-cigar-single-p-432.html?keywords=Cohiba+Siglo+V,ready to check
Cohiba,Cohiba Siglo VI,UK,cgars,£139,https://www.cgarsltd.co.uk/cohiba-siglo-cigar-single-p-433.html,ready to check
Davidoff,Davidoff Escurio Robusto,UK,cgars,£31.99,https://www.cgarsltd.co.uk/davidoff-escurio-robusto-cello-cigar-single-p-18054.html?keywords=Davidoff+Escurio+Robusto,ready to check
Davidoff,Davidoff Millennium Robusto,UK,cgars,£44.99,https://www.cgarsltd.co.uk/,ready to check
Davidoff,Davidoff Nicaragua Robusto,UK,cgars,£36.49,https://www.cgarsltd.co.uk/davidoff-nicaraguan-experience-robusto-cello-cigar-single-p-39077.html?keywords=Davidoff+Nicaragua+Robusto,ready to check
Davidoff,Davidoff Nicaragua Toro,UK,cgars,£44.49,https://www.cgarsltd.co.uk/davidoff-nicaragua-toro-cello-cigar-single-p-13647.html?keywords=Davidoff+Nicaragua+Toro,ready to check
Davidoff,Davidoff Signature 2000,UK,cgars,£29.49,https://www.cgarsltd.co.uk/davidoff-signature-2000-cigar-single-p-10560.html?keywords=Davidoff+Signature+2000,ready to check
Davidoff,Davidoff Signature 6000,UK,cgars,£38.99,https://www.cgarsltd.co.uk/davidoff-signature-6000-robusto-cigar-single-p-11932.html?keywords=Davidoff+Signature+6000,ready to check
Davidoff,Davidoff Signature No.2,UK,cgars,£41.99,https://www.cgarsltd.co.uk/,ready to check
Davidoff,Davidoff Winston Churchill The Late Hour Churchill,UK,cgars,£47.99,https://www.cgarsltd.co.uk/davidoff-winston-churchill-the-late-hour-robusto-cigar-single-p-25559.html?keywords=Davidoff+Winston+Churchill+The+Late+Hour+Churchill,ready to check
Davidoff,Davidoff Winston Churchill The Late Hour Robusto,UK,cgars,£47.99,https://www.cgarsltd.co.uk/davidoff-winston-churchill-the-late-hour-robusto-cigar-single-p-25559.html?keywords=Davidoff+Winston+Churchill+The+Late+Hour+Robusto,ready to check
